country;gov_eff;reg_qual;rule_of_law
Nicaragua;-0.77;-0.69;-1.18
Niue;NA;NA;NA
Netherlands;1.80;1.86;1.81
Norway;1.86;1.80;1.98
Nepal;-1.05;-0.70;-0.54
Nauru;-0.13;-0.03;-0.76
New Zealand;1.67;1.88;1.88
Oman;0.26;0.29;0.55
Pakistan;-0.68;-0.64;-0.67
Panama;0.07;0.36;-0.12
Palau;-0.05;-0.01;0.31
Peru;-0.07;0.56;-0.49
Philippines;0.05;0.01;-0.48
Papua New Guinea;-0.81;-0.54;-0.80
Poland;0.60;1.01;0.45
Puerto Rico;-0.16;0.73;0.59
Korea, Dem. Rep.;-1.40;-2.40;-1.65
Portugal;1.15;0.97;1.14
Paraguay;-0.53;-0.20;-0.56
Qatar;0.71;0.68;0.73
Réunion;1.09;1.23;0.85
Romania;-0.28;0.46;0.36
Russian Federation;0.15;-0.43;-0.72
Rwanda;0.19;0.08;0.08
Samoa;0.44;-0.22;1.08
Saudi Arabia;0.31;-0.07;0.17
Sudan;-1.62;-1.67;-1.14
Senegal;-0.06;-0.11;-0.19
Singapore;2.22;2.16;1.88
Solomon Islands;-1.00;-0.83;-0.14
Sierra Leone;-1.13;-0.88;-0.77
El Salvador;-0.47;0.02;-0.76
San Marino;NA;NA;NA
Somalia;-2.24;-2.20;-2.35
São Tomé and Principe;-0.63;-0.91;-0.68
Suriname;-0.59;-0.68;-0.06
Slovak Republic;0.67;1.01;0.56
Slovenia;1.08;1.01;1.12
Sweden;1.83;1.80;1.91
Swaziland;-0.68;-0.61;-0.50
Seychelles;0.52;-0.15;0.17
Syrian Arab Republic;-1.71;-1.76;-2.08
Chad;-1.57;-1.12;-1.28
Togo;-0.92;-0.68;-0.59
Thailand;0.36;0.12;0.10
Tajikistan;-1.05;-1.01;-1.23
Turkmenistan;-1.16;-1.96;-1.41
Timor-Leste;-0.88;-0.78;-1.11
Tonga;0.16;-0.33;0.46
Trinidad and Tobago;0.10;-0.15;-0.12
Tunisia;-0.10;-0.44;0.06
Turkey;0.05;-0.01;-0.28
Tuvalu;-0.65;-0.56;0.48
Taiwan, China;1.44;1.40;1.14
Tanzania;-0.88;-0.64;-0.58
Uganda;-0.59;-0.37;-0.31
Ukraine;-0.30;-0.26;-0.70
Uruguay;0.70;0.51;0.62
United States;1.49;1.35;1.46
Uzbekistan;-0.51;-0.99;-1.05
St. Vincent and the Grenadines;0.23;0.21;0.45
Venezuela, RB;-1.66;-2.36;-2.32
Virgin Islands (U.S.);0.82;1.23;1.09
Vietnam;0.04;-0.26;-0.02
Vanuatu;-0.55;-0.46;0.18
West Bank and Gaza;-0.74;0.03;-0.49
Jersey, Channel Islands;1.24;0.92;1.75
Yemen, Rep.;-2.28;-1.66;-1.77
Serbia;0.02;0.11;-0.12
South Africa;0.37;0.16;-0.08
Congo, Dem. Rep.;-1.63;-1.51;-1.79
Zambia;-0.68;-0.55;-0.46
Zimbabwe;-1.21;-1.46;-1.26
